Questions,Answers
What is the FDA doing to respond to the COVID-19 pandemic?," The FDA, along with other federal, state, and local agencies and public health officials across the country and internationally, plays a critical role in protecting public health during the COVID-19 pandemic. FDA staff are working around the clock to support development of  medical countermeasures and are providing regulatory advice, guidance, and technical assistance to advance the development and availability of vaccines, therapies, diagnostic tests and other medical devices for use diagnosing, treating, and preventing this novel virus. The FDA continues to monitor the human and animal food supply and take swift action on fraudulent COVID-19 products.


"
What is an emergency use authorization and how is it being used to respond to COVID-19?," In certain types of emergencies, the FDA can issue an emergency use authorization, or EUA, to provide more timely access to critical medical products (including medicines and tests) that may help during the emergency when there are no adequate, approved, and available alternative options.
The EUA process is different than FDA approval, clearance, or licensing because the EUA standard may permit authorization based on significantly less data than would be required for approval, clearance, or licensing by the FDA. This enables the FDA to authorize the emergency use of medical products that meet the criteria within weeks rather than months to years. 
EUAs are in effect until the emergency declaration ends but can be revised or revoked as we evaluate the needs during the emergency and new data on the product’s safety and effectiveness, or as products meet the criteria to become approved, cleared, or licensed by the FDA.
Learn more about EUAs in this video
Read more about COVID-19 tests 
Find a community-based testing site


"
How can I prevent COVID-19?," The best way to prevent illness is to avoid being exposed to the virus. The CDC recommends everyday preventive actions to help prevent the spread of respiratory diseases. They include: 
Wash your hands often with plain soap and water. The CDC recommends washing your hands often with soap and water for at least 20 seconds, especially after you have been in a public place, or after blowing your nose, coughing, or sneezing. If soap and water are not available, the CDC recommends using an alcohol-based hand sanitizer that contains at least 60 percent alcohol. Learn more about safely using hand sanitizer.
Cover your mouth and nose with a cloth face covering or non-surgical mask when around others. Find more information about how to select, wear, and clean your mask.
Avoid crowds and practice social distancing (stay at least 6 feet apart from others).
Learn how to protect your family in this Consumer Update and the importance of getting your flu vaccine.


"
Should I wear a face covering or mask when I go out in public?," The CDC recommends wearing masks in public when other social distancing measures are difficult to maintain.
The FDA has authorized the emergency use of face masks, including cloth face coverings, that meet certain criteria for use as source control by the general public and health care personnel in accordance with CDC recommendations during the COVID-19 public health emergency. The FDA also regulates other medical devices, including personal protective equipment (PPE) such as surgical masks and N95 respirators. The CDC recommends that PPE should be reserved for use by health care workers, first responders, and other frontline workers whose jobs put them at much greater risk of acquiring COVID-19. 
Read more about types of face masks and the FDA’s emergency use authorization for non-surgical face masks.


"
What treatments are available for COVID-19?," On October 22, 2020, the FDA approved the antiviral drug Veklury (remdesivir) for use in adults and pediatric patients (12 years of age and older and weighing at least 40 kg) for the treatment of COVID-19 requiring hospitalization. Veklury should only be administered in a hospital or in a healthcare setting capable of providing acute care comparable to inpatient hospital care.  
This approval does not include the entire population that had been authorized to use Veklury under an Emergency Use Authorization (EUA) originally issued on May 1, 2020. In order to ensure continued access to the pediatric population previously covered under the EUA, the FDA revised the EUA for Veklury to permit the drug’s use by licensed healthcare providers for the treatment of suspected or laboratory-confirmed COVID-19 in hospitalized pediatric patients 3.5 kg to less than 40 kg or hospitalized pediatric patients less than 12 years of age weighing at least 3.5 kg. For additional information on the authorized use of Veklury under the EUA, refer to the Fact Sheet for Healthcare Providers.
Clinical trials assessing the safety and efficacy of Veklury (remdesivir) in this pediatric patient population are ongoing. 
The National Institutes of Health provides more information about treatment options.
People with COVID-19 should receive supportive care to help relieve symptoms. People with mild symptoms are able to recover at home. If you experience a medical emergency such as trouble breathing, call 911 and let the operator know you may have COVID-19. Never take a prescription medicine or drug if it is not prescribed for you by your doctor for your health condition.


"
"Can I prevent or treat COVID-19 by using disinfectant sprays, wipes, or liquids on my skin?"," No. Disinfectants should not be used on human or animal skin. Disinfectants may cause serious skin and eye irritation. 
Disinfectants are dangerous for people to inject, inhale, or ingest. If you breathe, inject, or swallow disinfectants you may be seriously hurt or die. If someone near you swallows, injects, or breathes a disinfectant, call poison control or a medical professional immediately.
Disinfectant products such as sprays, mists, wipes, or liquids are only to be used on hard, non-porous surfaces (materials that do not absorb liquids easily) such as floors and countertops, or on soft surfaces such as mattresses, sofas, and beds.
View the current list of disinfectants that meet EPA’s criteria for use against SARS-CoV-2, the virus that causes COVID-19. 


"
Does spraying people with disinfectant lower the spread of COVID-19?," Currently there are no data showing that spraying people with aerosolized disinfectants, or having people walk through tunnels or rooms where disinfectant is in the air, can treat, prevent, or lower the spread of COVID-19.
Surface disinfectants should not be used on people or animals. Disinfectant products, such as sprays, mists, wipes, or liquids are only to be used on hard, non-porous surfaces (materials that do not absorb liquids easily) such as floors and countertops, or on soft surfaces such as mattresses, sofas, and beds. CDC provides information regarding disinfectant practices for surfaces in the Reopening Guidance for Cleaning and Disinfecting Public Spaces, Workplaces, Businesses, Schools, and Homes. 
Human antiseptic drugs, such as hand sanitizers, are intended for use on human skin, but are not intended for aerosolization (to be sprayed in the air in very small droplets).  Due to serious safety concerns, including the risk of inhalational toxicity and flammability, the FDA’s temporary policies for alcohol-based hand sanitizers during the COVID-19 public health emergency specifically do not apply to aerosol sprays.  In addition, hand sanitizers are intended for use on the hands, and should never be used over larger body surfaces, swallowed, or inhaled.


"
Will Miracle Mineral Solution (MMS) cure COVID-19?,"  No. Miracle Mineral Solution does not cure COVID-19 and has not been approved by the FDA for any use. The solution, when mixed as directed, forms industrial bleach that may cause serious and potentially life-threatening side effects. FDA took action against Genesis II Church of Health and Healing for unlawfully distributing Miracle Mineral Solution for the treatment of COVID-19 and other diseases. Learn more: Danger: Don’t Drink Miracle Mineral Solution or Similar Products. 


"
Is hand sanitizer effective against COVID-19?," The best way to prevent the spread of infections and decrease the risk of getting sick is by washing your hands with plain soap and water, advises the CDC. Washing hands often with soap and water for at least 20 seconds is essential, especially after going to the bathroom; before eating; and after coughing, sneezing, or blowing one’s nose. If soap and water are not available, CDC recommends consumers use an alcohol-based hand sanitizer that contains at least 60% alcohol. 


"
Where can I buy hand sanitizer?," Many retail stores and pharmacies sell hand sanitizers. However, we understand that many stores may not have hand sanitizers available to buy. To help increase the availability of hand sanitizers, the FDA has issued guidance for the temporary preparation of alcohol-based hand sanitizers by some companies and pharmacies during the COVID-19 public health emergency. 
The FDA does not recommend that consumers make their own hand sanitizer. If made incorrectly, hand sanitizer can be ineffective, and there have been reports of skin burns from homemade hand sanitizer. The agency lacks verifiable information on the methods being used to prepare hand sanitizer at home and whether they are safe for use on human skin.
See the Q&A for Consumers: Hand Sanitizers and COVID-19 and Safely Using Hand Sanitizer for more information.


"
What do I do if I get a rash or other reaction to hand sanitizer?," Call your doctor if you experience a serious reaction to hand sanitizer. The FDA encourages consumers and health care professionals to report adverse events experienced with the use of hand sanitizers to the FDA’s MedWatch Adverse Event Reporting program:
Complete and submit the report online; or
Download and complete the form, then submit it via fax at 1-800-FDA-0178.
Include as much information as you can about the product that caused the reaction, including the product name, the manufacturer, and the lot number (if available).
See Q&A for Consumers: Hand Sanitizers and COVID-19 and Safely Using Hand Sanitizer for more information.


"
What is the risk of using a hand sanitizer that contains methanol (wood alcohol) or 1-propanol?," Methanol exposure can result in nausea, vomiting, headache, blurred vision, permanent blindness, seizures, coma, permanent damage to the nervous system or death. Although people using these products on their hands are at risk for methanol poisoning, young children who accidentally swallow these products and adolescents and adults who drink these products as an alcohol (ethanol) substitute are most at risk.
Swallowing or drinking a hand sanitizer with 1-propanol can result in decreased breathing and heart rate, among other serious symptoms, and can lead to death. Hand sanitizer with 1-propanol contamination can irritate your skin (or eyes, if exposed). Although it is rare, some people have reported allergic skin reactions. Learn more about methanol and 1-propanol toxicities.


"
What should I do with hand sanitizer that contains methanol (wood alcohol) or 1-propanol?," If you have one of the products the FDA's do-not-use list of hand sanitizers, you should immediately stop using it and dispose of the product, ideally in a hazardous waste container. Do not pour these products down the drain or flush them. Contact your local waste management and recycling center for more information on hazardous waste disposal. Learn how to search FDA’s hand sanitizer do-not-use list, including a description of how to search for manufacturers and distributors on the label. 


"
What should people do if they have been exposed to hand sanitizer with potential methanol or 1-propanol contamination?," People who have been exposed to contaminated hand sanitizer and are experiencing symptoms should seek immediate medical treatment for potential reversal of toxic effects.
FDA encourages health care professionals, consumers and patients to report adverse events or quality problems experienced with the use of hand sanitizers to FDA’s MedWatch Adverse Event Reporting program (please provide the agency with as much information as possible to identify the product):
Complete and submit the report online; or
Download and complete the form, then submit it via fax at 1-800-FDA-0178. 


"
Products online claim to prevent or treat COVID-19. Where can I report websites selling products with fraudulent claims?," The FDA advises consumers to be beware of websites and stores selling products that claim to prevent, treat, or cure COVID-19. If you have a question about a product sold online that claims to treat, prevent, or cure COVID-19, talk to your health care provider or doctor.
Watch this video and read this Consumer Update to learn how to protect yourself and your family from coronavirus fraud. 
Please report websites selling products with fraudulent claims about treatment or prevention of COVID-19. If you have experienced a bad reaction to a product sold with COVID-19 claims, report it to the FDA’s MedWatch Adverse Event Reporting program:
Complete and submit the report online; or
Download and complete the form, then submit it via fax at 1-800-FDA-0178.
Include as much information as you can about the product that caused the reaction, including the product name, the manufacturer, and the lot number (if available).


"
Am I at risk for serious complications from COVID-19 if I smoke cigarettes?," Smoking cigarettes can leave you more vulnerable to respiratory illnesses, such as COVID-19. For example, smoking is known to cause lung disease and people with underlying lung problems may have increased risk for serious complications from COVID-19, a disease that primarily attacks the lungs. Smoking cigarettes can also cause inflammation and cell damage throughout the body, and can weaken your immune system, making it less able to fight off disease.
There’s never been a better time to quit smoking. If you need resources to help you quit smoking, the FDA’s Every Try Counts campaign has supportive tips and tools to help you get closer to quitting for good.


"
If I vape tobacco or nicotine am I at risk for complications from COVID-19?," E-cigarette use can expose the lungs to toxic chemicals, but whether those exposures increase the risk of COVID-19 or the severity of COVID-19 outcomes is not known. However, many e-cigarette users are current or former smokers, and cigarette smoking increases the risk of respiratory infections, including pneumonia.


"
What is the FDA’s role in approving vaccines and what is being done to produce a COVID-19 vaccine?," The FDA regulates vaccines. Vaccines undergo a rigorous review of laboratory and clinical data to ensure the safety and effectiveness of these products. Vaccines approved for marketing may also be required to undergo additional studies to further evaluate the vaccine and often to address specific questions about the vaccine's safety, effectiveness, or possible side effects. 
There are currently no vaccines available for the prevention of COVID-19. The FDA is expediting clinical trials for vaccines by providing timely advice to and interactions with vaccine developers. The FDA is also supporting product development and scaling up of manufacturing capacity for high priority vaccines for COVID-19. Vaccine developers can find more info about the review process here.


"
What is a biological medical product or a biologic?," Biological products include a wide range of products such as vaccines, blood and blood components, allergenics, somatic cells, gene therapy, tissues, and recombinant therapeutic proteins. Biologics can be composed of sugars, proteins, or nucleic acids or complex combinations of these substances, or may be living entities such as cells and tissues.


"
Are there any vaccines or other medical products to prevent COVID-19?," At this time there is no vaccine to prevent coronavirus disease 2019 (COVID-19). The FDA is working with vaccine developers and other researchers and manufacturers to help expedite the development and availability of medical products such as vaccines, antibodies, and drugs to prevent COVID-19. Read more about what the FDA is doing to mitigate the effects of COVID-19.
For information about vaccine clinical trials for COVID-19 visit clinicaltrials.gov and the COVID-19 Prevention Network. Note: The information on clinicaltrials.gov is provided by the sponsor or principal investigator of a clinical trial. The listing of a study on the site does not reflect evaluation or endorsement of the trial by the Federal government.


"
Does COVID-19 present a risk to the safety of the nation’s blood supply?," In general, respiratory viruses are not known to be transmitted by blood transfusion, and there have been no reported cases of transfusion-transmitted coronavirus.


"
"Can SARS-CoV-2, the virus that causes COVID-19, be transmitted by blood transfusion?"," In general, respiratory viruses are not known to be transmitted by blood transfusion, and there have been no reported cases of transfusion-transmitted coronavirus.


"
"What steps are being taken to protect the U.S. blood supply from SARS-CoV-2, the virus that causes COVID-19?"," Blood donors must be healthy and feel well on the day of donation. Routine blood donor screening measures that are already in place should prevent individuals with respiratory infections from donating blood. For example, blood donors must be in good health and have a normal temperature on the day of donation.
Donors are instructed to contact the donor center if they become ill after donation, so that their blood or plasma will not be used. Even when a donor develops COVID-19 after donation, however, there have been no cases of COVID-19 linked to donor blood or products made from blood.   
The FDA has provided additional information to blood establishments on its website. 


"
Why aren’t blood centers testing donors for SARS-CoV-2?,"  At this time, the FDA does not recommend using laboratory tests to screen blood. Someone who has symptoms of COVID-19, including fever, cough, and shortness of breath, is not healthy enough to donate blood. Standard screening processes already in place will mean that someone with these symptoms will not be allowed to donate. 


"
Is it safe for me to donate blood during the coronavirus pandemic?," If you are healthy and interested in donating blood, the FDA encourages you to contact a local donation center to make an appointment. One way to make a difference during a public health emergency is to donate blood if you are able. 
AABB: www.aabb.org; +1.301.907.6977
America’s Blood Centers: www.americasblood.org
American Red Cross: www.redcrossblood.org; +1.800.RED CROSS (+1.800.733.2767)
Armed Services Blood Program: www.militaryblood.dod.mil; +1.703.681.8024
Blood Centers of America: www.bca.coop


"
"Can COVID-19 be transmitted through human cells, tissues, or cellular and tissue-based products (HCT/Ps)?"," Respiratory viruses, in general, are not known to be transmitted by implantation, transplantation, infusion, or transfer of human cells, tissues, or cellular or tissue-based products (HCT/Ps). The potential for transmission of COVID-19 by HCT/Ps is unknown at this time. There have been no reported cases of transmission of COVID-19 via HCT/Ps.
Routine screening measures are already in place for evaluating clinical evidence of infection in HCT/P donors. Read more about HCT/Ps.


"
What is convalescent plasma and why is it being investigated to treat COVID-19?," Convalescent refers to anyone recovering from a disease. Plasma is the yellow, liquid part of blood that contains antibodies. Antibodies are proteins made by the body in response to infections.  Convalescent plasma from patients who have already recovered from coronavirus disease 2019 (COVID-19) may contain antibodies against COVID-19. The FDA has issued an emergency use authorization for the use of convalescent plasma in hospitalized patients. It is being investigated for the treatment of COVID-19 patients. Based on scientific evidence available, the FDA concluded this product may be effective in treating COVID-19 and that the known and potential benefits of the product outweigh the known and potential risks of the product for patients hospitalized with COVID-19. Learn more about donating from this video.


"
"I recently recovered from COVID-19, can I donate convalescent plasma?"," COVID-19 convalescent plasma must only be collected from recovered individuals if they are eligible to donate blood. Individuals must have had a prior diagnosis of COVID-19 documented by a laboratory test and meet other laboratory criteria. Individuals must have fully recovered from COVID-19, with complete resolution of symptoms for at least 14 days before donation of convalescent plasma. You can ask your local blood center if there are options to donate convalescent plasma in your area. Learn more about how to donate.


"
What does it mean to be an FDA-approved drug?," FDA approval of a drug means that the agency has determined, based on substantial evidence, that the drug is effective for its intended use, and that the benefits of the drug outweigh its risks when used according to the product’s approved labeling. The drug approval process takes place within a structured framework that includes collecting clinical data and submitting an application to the FDA. Learn more about the FDA’s Drug Review Process.


"
What is the FDA’s role in regulating potential treatments during a public health emergency?," The FDA carries out many activities to protect and promote public health during a public health emergency, including helping to accelerate the development and availability of potential treatments, protecting the security of drug supply chains, providing guidance to food and medical device manufacturers, advising developers on clinical trial issues, and keeping the public informed with authoritative health information.
The FDA is committed to supporting the development of new drugs, and the potential repurposing of existing drugs, to address COVID-19 by working with potential drug makers and sponsors to rapidly move products into clinical trials, helping to ensure that trials are properly designed and safe, and protecting the public from potentially unsafe products.
Read more about FDA efforts to accelerate treatments and other actions related to coronavirus.


"
Are there any FDA-approved drugs (medicines) for COVID-19?," Yes, the FDA has approved Veklury (remdesivir) for certain COVID-19 patients. Read more about the approval here.
Additionally, during public health emergencies, the FDA may in certain circumstances authorize use of unapproved drugs or unapproved uses of approved drugs for life-threatening conditions when there are no adequate, approved, and available options and other conditions are met. This is called an Emergency Use Authorization (EUA).
Researchers are studying new drugs, and medicines that are already approved for other health conditions, as possible treatments for COVID-19. The FDA created the Coronavirus Treatment Acceleration Program (CTAP) to use every available method to move new treatments to patients. Additionally, the FDA is working with the National Institutes of Health, drug manufacturers, researchers, and other partners to accelerate the development process for COVID-19 treatments. FDA’s Sentinel System is being used to monitor the use of drugs, describe the course of illness among hospitalized patients, and evaluate the treatment impact of therapies actively being used under real-world conditions.
For information about clinical trials for COVID-19 treatments visit clinicaltrials.gov and the COVID-19 Prevention Network. Note: The information on clinicaltrials.gov is provided by the sponsor or principal investigator of a clinical trial. The listing of a study on the site does not reflect evaluation or endorsement of the trial by the Federal government.


"
Is Veklury (remdesivir) approved by the FDA to treat COVID-19?," Yes, on October 22, 2020, the FDA approved Veklury (remdesivir) for certain COVID-19 patients. Read more about the approval here. 


"
Is Olumiant (baricitinib) approved by the FDA to treat COVID-19?," No. Olumiant is not FDA-approved for the treatment of COVID-19. However, the FDA issued an emergency use authorization (EUA) authorizing Olumiant for emergency use by healthcare providers, in combination with Veklury (remdesivir), for the treatment of suspected or laboratory-confirmed COVID-19 in hospitalized adults and pediatric patients 2 years of age or older requiring supplemental oxygen, invasive mechanical ventilation, or extracorporeal membrane oxygenation (ECMO).  
For more information see Frequently Asked Questions on the Emergency Use Authorization for Olumiant (baricitinib) in Combination with Veklury (remdesivir) for Treatment of Mild to Moderate COVID-19. 


"
"Is bamlanivimab, a monoclonal antibody, FDA-approved to treat COVID-19?"," No. Bamlanivimab is not FDA-approved to treat any diseases or conditions, including COVID-19. However, the FDA issued an emergency use authorization (EUA) for bamlanivimab for the treatment of mild to moderate COVID-19 in adults and pediatric patients with positive results of direct SARS-CoV-2 viral testing who are 12 years and older weighing at least 40kg, and who are at high risk for progressing to severe COVID-19 and/or hospitalization. Learn more about bamlanivimab for COVID-19.


"
"Are the monoclonal antibodies, casirivimab and imdevimab, FDA-approved to treat COVID-19?"," No. Casirivimab and imdevimab are not FDA-approved to treat any diseases or conditions, including COVID-19. However, the FDA issued an emergency use authorization (EUA) for casirivimab and imdevimab to be administered together for the treatment of mild to moderate COVID-19 in adults and pediatric patients (12 years of age or older weighing at least 40 kilograms [about 88 pounds]) with positive results of direct SARS-CoV-2 viral testing and who are at high risk for progressing to severe COVID-19. This includes those who are 65 years of age or older or who have certain chronic medical conditions. Learn more about casirivimab and imdevimab for COVID-19. 


"
What is a monoclonal antibody?," Monoclonal antibodies are laboratory-produced molecules that act as substitute antibodies that can restore, enhance or mimic the immune system's attack on cells. Monoclonal antibodies for COVID-19 may block the virus that causes COVID-19 from attaching to human cells, making it more difficult for the virus to reproduce and cause harm. Monoclonal antibodies may also neutralize a virus. 


"
Are chloroquine phosphate or hydroxychloroquine sulfate approved by the FDA to treat COVID-19?," No. Hydroxychloroquine sulfate and some versions of chloroquine phosphate are FDA-approved to treat malaria. Hydroxychloroquine sulfate is also FDA-approved to treat lupus and rheumatoid arthritis.
On March 28, 2020, the FDA issued an emergency use authorization (EUA) for chloroquine phosphate and hydroxychloroquine sulfate to treat adults and adolescents hospitalized with COVID-19 for whom a clinical trial was not available or participation was not feasible. Based on FDA’s continued review of the scientific evidence available, the criteria for an EUA for chloroquine phosphate and hydroxychloroquine sulfate as outlined in Section 564(c)(2) of the FD&C Act are no longer met. As a result, the EUA for these two drugs was revoked on June 15, 2020. Read more about this action.


"
Should I take chloroquine phosphate used to treat disease in aquarium fish to prevent or treat COVID-19?," No. Products marketed for veterinary use, “for research only,” or otherwise not for human consumption have not been evaluated for safety or effectiveness and should never be used by humans. The FDA is aware that chloroquine phosphate is marketed to treat disease in aquarium fish, but these products have not been evaluated by the FDA to determine if they are safe, effective, properly manufactured, and adequately labeled. The agency continues to work with online marketplaces to remove these items, and many have been removed based on these efforts. Patients should not take any form of chloroquine unless it has been prescribed by a licensed health care provider. Chloroquine products also should not be given to pets or livestock unless prescribed by a veterinarian. 


"
Are antibiotics effective in preventing or treating COVID-19?," No. Antibiotics do not work against viruses; they only work on bacterial infections. Antibiotics do not prevent or treat COVID-19, because COVID-19 is caused by a virus, not bacteria. Some patients with COVID-19 may also develop a bacterial infection, such as pneumonia. In that case, a health care professional may treat the bacterial infection with an antibiotic.


"
Should I take ivermectin to prevent or treat COVID-19?," No. While there are approved uses for ivermectin in people and animals, it is not approved for the prevention or treatment of COVID-19. You should not take any medicine to treat or prevent COVID-19 unless it has been prescribed to you by your health care provider and acquired from a legitimate source. 
A recently released research article described the effect of ivermectin on SARS-CoV-2 in a laboratory setting. These types of laboratory studies are commonly used at an early stage of drug development. Additional testing is needed to determine whether ivermectin might be appropriate to prevent or treat coronavirus or COVID-19. Read more about ivermectin.


"
What is the FDA doing to protect people from products making fraudulent COVID-19 claims?," We have established a cross-agency team dedicated to closely monitoring for fraudulent COVID-19 products. In response to internet scammers, the FDA has taken – and continues to take – actions to stop those selling unapproved products that fraudulently claim to prevent, treat, diagnose or cure COVID-19. The FDA and the Federal Trade Commission (FTC) issue warning letters to companies and individuals that are unlawfully selling unapproved products with fraudulent COVID-19 claims. The FDA also has taken enforcement action against certain sellers that continued to illegally market products for prevention or treatment of COVID-19. 
Additionally, the FDA also has reached out to major retailers to ask for their help in monitoring online marketplaces for fraudulent COVID-19 products. You can report websites selling fraudulent medical products to the FDA through our website, by phone at 1-800-332-1088, or email to FDA-COVID-19-Fraudulent-Products@fda.hhs.gov. Read more in the consumer update on fraudulent products.


"
Will there be drug shortages due to COVID-19?," The FDA has been closely monitoring the supply chain with the expectation that the COVID-19 outbreak would likely impact the medical product supply chain, including potential disruptions to supply or shortages of critical medical products in the U.S. 
We have been reaching out to manufacturers as part of our approach to identifying potential disruptions or shortages. We will use all available tools to react swiftly and mitigate the impact to U.S. patients and health care professionals when a potential disruption or shortage is identified.
Find real-time information about drug shortages.
Learn more in our drug shortages frequently asked questions. 


"
 Am I at risk for COVID-19 from taking FDA-approved drugs made outside the United States?," Currently, there is no evidence to support transmission of COVID-19 associated with imported goods, including food and drugs for humans and pets. There have not been any cases of COVID-19 in the United States associated with imported goods. Learn more about the FDA’s Import Program and Importing COVID Supplies.


"
Who should I contact with drug-related questions?," If you have additional questions, call the FDA’s Division of Drug Information at (855) 543-3784 or email us at druginfo@fda.hhs.gov. 


"
Is there a test for COVID-19?," Yes, the FDA has issued Emergency Use Authorizations (EUAs) for different types of COVID-19 tests. Some tests are used to diagnose the virus that causes COVID-19 infection whereas other tests are used to detect a recent or prior COVID-19 infection. There are 2 different types of COVID-19 diagnostic tests -- molecular tests and antigen tests. Molecular tests detect the virus that causes COVID-19, SARS-CoV-2. Antigen tests detect specific proteins made by the virus. Tests that detect recent or prior COVID-19 infection are called antibody or serological tests. The EUAs allow the emergency use of tests during the COVID-19 emergency when the FDA determines certain criteria are met. These criteria include that the test may be effective at diagnosing COVID-19 and that the known and potential benefits outweigh the known and potential risks. Read more about COVID-19 tests and find a community-based testing site.


"
How are people tested for COVID-19?," Most tests to diagnose COVID-19 require a swab of your nose, or the part of the throat behind the nose, by a health care provider. A few tests use saliva (spit) or other types of collection methods. For most tests, the swab or sample must be sent to a lab for analysis. Some tests allow the patient to collect the sample at home and then send it to a lab for analysis. Some tests can be analyzed at the point-of-care, such as in a doctor’s office or health clinic. The FDA has also authorized one at-home test that allows an individual to collect their sample and run the test completely at home without needing to send anything to a lab. All COVID-19 tests require a prescription.  Currently there are no over-the-counter COVID-19 tests available. Learn more about Coronavirus Disease 2019 Testing Basics.  


"
Are there any at-home tests for COVID-19?," Yes. The FDA has authorized one completely at-home test. An at-home test is a test where a person can collect a sample and test the sample at home. The test gives results in 30 minutes or less. The FDA has also authorized tests that allow a person to collect their sample at-home and then mail it to a laboratory for analysis. All COVID-19 tests require a prescription.


"
When will other diagnostic tests for COVID-19 be authorized?," The FDA is actively working with test developers and issues Emergency Use Authorizations (EUAs) frequently for EUA requests with sufficient supporting data.


"
What is the difference between the types of tests available for SARS-CoV-2?," There are two different types of tests – diagnostic tests and antibody tests.
A diagnostic test can show if you have an active coronavirus infection and should take steps to quarantine or isolate yourself from others. Currently there are two types of diagnostic tests – molecular (RT-PCR) tests that detect the virus’s genetic material, and antigen tests that detect specific proteins on the surface of the virus. Samples are typically collected with a nasal or throat swab, or saliva collected by spitting into a tube.
An antibody test looks for antibodies that are made by the immune system in response to a threat, such as a specific virus. Antibodies can help fight infections. Antibodies can take several days or weeks to develop after you have an infection and may stay in your blood for several weeks after recovery. Because of this, antibody tests should not be used to diagnose an active coronavirus infection. At this time, researchers do not know if the presence of antibodies means that you are immune to the coronavirus in the future. While there is a lot of uncertainty with this new virus, it is also possible that, over time, broad use of antibody tests and clinical follow-up will provide the medical community with more information on whether or not, and how long, a person who has recovered from the virus is at lower risk of infection if they are exposed to the virus again. Samples are typically blood from a finger stick or blood draw. Learn more about antibody tests. 
Learn more about the different types of tests and the steps involved in the FDA’s Consumer Update on Coronavirus Testing Basics.


"
Should I purchase personal protective equipment such as facemasks or N95 respirators for me and my family?," No. Surgical masks and N95s need to be reserved for use by health care workers, first responders, and other frontline workers whose jobs put them at much greater risk of acquiring COVID-19. The cloth face coverings recommended by CDC are not surgical masks or N95 respirators. Surgical masks and N95s are critical supplies that must continue to be reserved for health care workers and other medical first responders, as recommended by CDC.


"
"Is there a shortage of personal protective equipment (PPE) such as gloves, masks, and N95 respirators or of ventilators?","  The FDA has been working closely with PPE and ventilator manufacturers to understand their supply capabilities during this pandemic. The agency is also aware of challenges throughout the supply chain that are presently impacting the availability of PPE products and is taking steps to mitigate shortages that health care facilities are already experiencing. 
The FDA issued new guidance to give ventilator manufacturers and non-medical device manufacturers more flexibility to start making new ventilators and parts. We adjusted our screening of PPE  and medical devices at U.S. ports of entry to expedite imports of legitimate products into the U.S. With CDC we took action to make more respirators, including certain N95s, available to health care personnel for use in health care settings. Read more about PPE.
The FDA encourages manufacturers and health care facilities to report any supply disruptions to the device shortages mailbox at deviceshortages@fda.hhs.gov.

"
Can 3D printing be used to make PPE?," Personal protective equipment (PPE) includes protective clothing, gowns, gloves, face shields, goggles, face masks, and respirators or other equipment designed to protect the wearer from injury or the spread of infection or illness. While it is possible to use 3D printing to make certain PPE, there are technical challenges. 3D-printed PPE may provide a physical barrier, but 3D-printed PPE are unlikely to provide the same fluid barrier and air filtration protection as FDA-cleared surgical masks and N95 respirators. The CDC has recommendations for how to optimize the supply of face masks. Find more information about 3D printing during the COVID-19 pandemic.


"
I built a DIY ventilator using instructions I found on the internet. May I sell it?," DIY ventilator makers may request that their product be added to the  Emergency Use Authorization (EUA) that the FDA issued on March 24, 2020, to legally market the product in the U.S. Instructions on how to do so, and the criteria for ventilator safety, performance and labeling, may be found in the Letter of Authorization and Appendix A for the EUA related to ventilators, anesthesia gas machines modified for use as ventilators, positive pressure breathing devices modified for use as ventilators, ventilator tubing connectors, and ventilator accessories.


"
Who should I contact if I have questions about medical devices or need more information?," Please see Contacts for Medical Devices During the COVID-19 Pandemic.
If you need information about the development of a test for SARS-CoV-2, please see our FAQs on Testing for SARS-CoV-2.


"
What is the FDA’s role in helping to ensure the safety of the human and animal food supply?," To protect public health, the FDA monitors domestic firms and the foods that they produce. The FDA also monitors imported products and foreign firms exporting to the United States. The FDA protects consumers from unsafe foods through research and methods development; inspection and sampling; and regulatory and legal action.


"
Will there be food shortages?," In some cases the inventory of certain foods at your grocery store might be temporarily low before stores can restock. Food production and manufacturing generally are widely dispersed throughout the U.S., however; there is a significant shift in where consumers are buying food during the pandemic. While food use in large-scale establishments, such as hotels, restaurants, sports arenas/stadiums and universities suddenly declined, the demand for food at grocery stores increased.  
The FDA has issued temporary guidance to provide flexibility in packaging and labeling requirements to support food supply chains and get foods to the consumer retail marketplace. The FDA is closely monitoring the food supply chain for any shortages in collaboration with industry and our federal and state partners. We are in regular contact with food manufacturers and grocery stores. Watch a video on food safety and availability during the coronavirus pandemic.


"
"Why is the FDA providing flexibility to food manufacturers, under limited circumstances during the COVID-19 public health emergency, to make minor changes in ingredients without reflecting those changes on the package label?"," Due to limited shortages of specific ingredients and foods, or unexpected supply chain disruptions in some industries, food manufacturers may need to make small changes to some ingredients during the COVID-19 public health emergency. Manufacturers may not be able to relabel their products to reflect these minor changes on the food label without slowing down the processing or distribution of the food.
To avoid slowing down food processing or distribution during the coronavirus pandemic, the FDA issued a guidance titled ""Temporary Policy Regarding Certain Food Labeling Requirements During the COVID-19 Public Health Emergency: Minor Formulation Changes and Vending Machines.""  The temporary policy provides food manufacturers with flexibility to make minor formulation changes in certain, limited circumstances without making conforming label changes on packages as long as any substitutions or omissions of ingredients do not pose a health or safety issue (such as allergens), and do not cause significant changes in the finished product.


"
